"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"352","Gh11","Grassland","Vredefort Dome Granite Grassland","CR_NP","CR","B1i_rod","NP"
"353","Gh12","Grassland","Vaal Reefs Dolomite Sinkhole Woodland","LC_NP","LC","","NP"
"354","Gh15","Grassland","Carletonville Dolomite Grassland","LC_PP","LC","","PP"
"355","Gh5","Grassland","Bloemfontein Dry Grassland","LC_PP","LC","","PP"
"356","Gh6","Grassland","Central Free State Grassland","LC_PP","LC","","PP"
"357","Gh7","Grassland","Winburg Grassy Shrubland","LC_PP","LC","","PP"
"358","Gh8","Grassland","Bloemfontein Karroid Shrubland","LC_MP","LC","","MP"
"359","Gh9","Grassland","Western Free State Clay Grassland","LC_PP","LC","","PP"
"360","Gm10","Grassland","Egoli Granite Grassland","CR_PP","CR","B1i_rod","PP"
"361","Gm11","Grassland","Rand Highveld Grassland","VU_PP","VU","A3_nat","PP"
"362","Gm12","Grassland","Eastern Highveld Grassland","EN_PP","EN","A3_nat","PP"
"363","Gm13","Grassland","Amersfoort Highveld Clay Grassland","LC_PP","LC","","PP"
"364","Gm14","Grassland","Wakkerstroom Montane Grassland","LC_PP","LC","","PP"
"365","Gm15","Grassland","Paulpietersburg Moist Grassland","EN_PP","EN","B1i_rod","PP"
"366","Gm16","Grassland","KaNgwane Montane Grassland","EN_PP","EN","B1i_rod","PP"
"367","Gm17","Grassland","Barberton Montane Grassland","LC_WP","LC","","WP"
"368","Gm19","Grassland","Sekhukhune Montane Grassland","LC_NP","LC","","NP"
"369","Gm20","Grassland","Leolo Summit Sourveld","LC_NP","LC","","NP"
"370","Gm21","Grassland","Lydenburg Thornveld","LC_PP","LC","","PP"
"371","Gm22","Grassland","Northern Escarpment Dolomite Grassland","EN_PP","EN","B1i_rod","PP"
"372","Gm23","Grassland","Northern Escarpment Quartzite Sourveld","LC_MP","LC","","MP"
"373","Gm24","Grassland","Northern Escarpment Afromontane Fynbos","LC_WP","LC","","WP"
"374","Gm25","Grassland","Woodbush Granite Grassland","CR_PP","CR","B1i_rod","PP"
"375","Gm26","Grassland","Wolkberg Dolomite Grassland","LC_WP","LC","","WP"
"376","Gm27","Grassland","Strydpoort Summit Sourveld","LC_WP","LC","","WP"
"377","Gm28","Grassland","Soutpansberg Summit Sourveld","LC_WP","LC","","WP"
"378","Gm29","Grassland","Waterberg-Magaliesberg Summit Sourveld","LC_WP","LC","","WP"
"379","Gm3","Grassland","Eastern Free State Clay Grassland","VU_NP","VU","A3_nat, B1i_rod","NP"
"380","Gm30","Grassland","Steenkampsberg Montane Grassland","LC_PP","LC","","PP"
"381","Gm31","Grassland","Long Tom Pass Montane Grassland","LC_WP","LC","","WP"
"382","Gm4","Grassland","Eastern Free State Sandy Grassland","LC_PP","LC","","PP"
"383","Gm6","Grassland","Frankfort Highveld Grassland","LC_NP","LC","","NP"
"384","Gm7","Grassland","Northern Free State Shrubland","LC_PP","LC","","PP"
"385","Gm8","Grassland","Soweto Highveld Grassland","VU_NP","VU","A3_nat, B1i_rod","NP"
"386","Gm9","Grassland","Tsakane Clay Grassland","EN_PP","EN","B1i_rod","PP"
"387","Gs1","Grassland","Northern Zululand Mistbelt Grassland","EN_PP","EN","B1i_rod","PP"
"388","Gs2","Grassland","Ithala Quartzite Sourveld","LC_MP","LC","","MP"
"389","Gs3","Grassland","Low Escarpment Moist Grassland","LC_PP","LC","","PP"
"390","Gs4","Grassland","Northern KwaZulu-Natal Moist Grassland","VU_PP","VU","B1i_rod","PP"
"391","Gs7","Grassland","Income Sandy Grassland","EN_NP","EN","B1i_rod","NP"
"392","Gs8","Grassland","Mooi River Highland Grassland","EN_PP","EN","B1i_rod","PP"
"393","CB2","Indian Ocean Coastal Belt","Maputaland Wooded Grassland","EN_MP","EN","B1i_rod","MP"
"394","SVcb1","Savanna","Dwaalboom Thornveld","LC_MP","LC","","MP"
"395","SVcb10","Savanna","Gauteng Shale Mountain Bushveld","EN_PP","EN","B1i_rod","PP"
"396","SVcb12","Savanna","Central Sandy Bushveld","LC_PP","LC","","PP"
"397","SVcb13","Savanna","Loskop Mountain Bushveld","LC_MP","LC","","MP"
"398","SVcb14","Savanna","Loskop Thornveld","LC_PP","LC","","PP"
"399","SVcb15","Savanna","Springbokvlakte Thornveld","EN_PP","EN","B1i_rod","PP"
"400","SVcb16","Savanna","Western Sandy Bushveld","LC_MP","LC","","MP"
"401","SVcb17","Savanna","Waterberg Mountain Bushveld","LC_MP","LC","","MP"
