"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"476","Dn2",1990,1.2484,0.809178117708063,"LC"
"477","Dn2",2014,1.2336,0.799585169821104,"LC"
"478","Dn2",2018,1.0276,0.666061705989111,"LC"
"479","Dn2",2020,1.0224,0.662691210785585,"LC"
"480","Dn2",2022,1.01,0.654653876069484,"LC"
"481","Dn3",1750,139.9224,1,"LC"
"482","Dn3",1990,127.49,0.911147893403772,"LC"
"483","Dn3",2014,126.932,0.907159968668348,"LC"
"484","Dn3",2018,122.9108,0.878421182026609,"LC"
"485","Dn3",2020,122.8844,0.878232506017621,"LC"
"486","Dn3",2022,122.5984,0.876188515920253,"LC"
"487","Dn4",1750,217.0148,1,"LC"
"488","Dn4",1990,201.1044,0.926685184604921,"LC"
"489","Dn4",2014,200.7652,0.925122157567134,"LC"
"490","Dn4",2018,195.1304,0.899157108178797,"LC"
"491","Dn4",2020,195.1072,0.899050203027628,"LC"
"492","Dn4",2022,194.7612,0.897455841721394,"LC"
"493","Dn5",1750,418.2756,1,"LC"
"494","Dn5",1990,392.2988,0.937895492828174,"LC"
"495","Dn5",2014,389.8536,0.932049586444918,"LC"
"496","Dn5",2018,384.9772,0.920391244433096,"LC"
"497","Dn5",2020,384.9532,0.920333865996486,"LC"
"498","Dn5",2022,384.4044,0.919021812412677,"LC"
"499","FFa1",1750,180.0652,1,"LC"
"500","FFa1",1990,72.1232,0.40053936018731,"VU"
"501","FFa1",2014,61.3016,0.340441129102125,"VU"
"502","FFa1",2018,54.1184,0.300548912282884,"VU"
"503","FFa1",2020,53.1612,0.295233060024924,"EN"
