"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"32","AZi1","Azonal Vegetation","Namaqualand Riviere","T5.2",1200.1276,"LC_PP","LC","","PP"
"33","AZa1","Azonal Vegetation","Fynbos Riparian Vegetation","T3.2",18.1868,"LC_WP","LC","","WP"
"34","AZi5","Azonal Vegetation","Bushmanland Vloere","T5.1",4815.0392,"LC_PP","LC","","PP"
"35","AZi6","Azonal Vegetation","Southern Karoo Riviere","T5.2",4534.9768,"LC_PP","LC","","PP"
"36","AZi7","Azonal Vegetation","Tanqua Wash Riviere","T5.2",1983.6596,"LC_MP","LC","","MP"
"37","AZi8","Azonal Vegetation","Muscadel Riviere","T5.2",143.7668,"EN_NP","EN","B1i_rod","NP"
"38","FOz6","Forests","Southern Coastal Forest","T1.2",150.9288,"LC_WP","LC","","WP"
"39","FOz1","Forests","Southern Afrotemperate Forest","T2.4",632.212,"LC_WP","LC","","WP"
"40","FFs19","Fynbos","South Outeniqua Sandstone Fynbos","T3.2",1047.7296,"LC_WP","LC","","WP"
"41","FFt2","Fynbos","Loerie Conglomerate Fynbos","T3.2",181.5708,"LC_PP","LC","","PP"
"42","FFd2","Fynbos","Leipoldtville Sand Fynbos","T3.2",756.9556,"EN_NP","EN","B1i_rod","NP"
"43","FFb4","Fynbos","Central Coastal Shale Band Vegetation","T3.2",54.0568,"LC_WP","LC","","WP"
"44","FFs15","Fynbos","North Langeberg Sandstone Fynbos","T3.2",906.3568,"LC_WP","LC","","WP"
"45","FFb2","Fynbos","Western Coastal Shale Band Vegetation","T3.2",128.2068,"EN_WP","EN","B1iii_sp","WP"
"46","FFg2","Fynbos","Boland Granite Fynbos","T3.2",279.5672,"EN_MP","EN","B1i_rod, B1iii_sp","MP"
"47","FRg2","Fynbos","Swartland Granite Renosterveld","T3.2",153.8836,"EN_NP","EN","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp","NP"
"48","FFg5","Fynbos","Garden Route Granite Fynbos","T3.2",177.678,"CR_NP","CR","B1i_rod, B1i_inv","NP"
"49","FFd1","Fynbos","Namaqualand Sand Fynbos","T3.2",1106.6752,"LC_PP","LC","","PP"
"50","FFl1","Fynbos","Agulhas Limestone Fynbos","T3.2",257.4524,"CR_PP","CR","B1i_inv, B1iii_sp","PP"
"51","FS7","Fynbos","Overberg Dune Strandveld","T3.2",37.4948,"EN_MP","EN","B1i_inv, B1iii_sp, B2i_inv, B2iii_sp","MP"
"52","FFl2","Fynbos","De Hoop Limestone Fynbos","T3.2",661.6104,"LC_MP","LC","","MP"
"53","FFs17","Fynbos","Potberg Sandstone Fynbos","T3.2",100.296,"CR_WP","CR","B1iii_sp","WP"
"54","FS9","Fynbos","Groot Brak Dune Strandveld","T3.2",12.3604,"CR_NP","CR","B1i_rod, B1i_inv, B2i_rod, B2i_inv","NP"
"55","FFd6","Fynbos","Hangklip Sand Fynbos","T3.2",51.4168,"CR_MP","CR","B1i_rod, B1iii_sp","MP"
"56","FFf1","Fynbos","Elim Ferricrete Fynbos","T3.2",233.5072,"EN_PP","EN","B1i_rod, B1iii_sp","PP"
"57","FFg3","Fynbos","Peninsula Granite Fynbos","T3.2",31.2132,"CR_MP","CR","B1i_rod, B1iii_sp","MP"
"58","FRs10","Fynbos","Peninsula Shale Renosterveld","T3.2",2.5132,"CR_PP","CR","A3_nat, A3_coct, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp","PP"
"59","FS1","Fynbos","Lambert's Bay Strandveld","T3.2",235.792,"CR_PP","CR","B1i_rod","PP"
"60","FS2","Fynbos","Saldanha Granite Strandveld","T3.2",78.3044,"CR_PP","CR","B1i_rod, B1iii_sp","PP"
"61","FS3","Fynbos","Saldanha Flats Strandveld","T3.2",580.8488,"EN_PP","EN","B1i_rod, B1iii_sp","PP"
"62","FS4","Fynbos","Saldanha Limestone Strandveld","T3.2",49.5296,"CR_MP","CR","B1iii_sp","MP"
"63","FS5","Fynbos","Langebaan Dune Strandveld","T3.2",293.0008,"EN_WP","EN","B1iii_sp","WP"
"64","FS6","Fynbos","Cape Flats Dune Strandveld","T3.2",183.1524,"EN_MP","EN","B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp","MP"
"65","FRc2","Fynbos","Ruens Silcrete Renosterveld","T3.2",28.494,"EN_NP","EN","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp","NP"
"66","FRs12","Fynbos","Central Ruens Shale Renosterveld","T3.2",195.7052,"CR_NP","CR","A3_nat","NP"
