"","T_MAPCODE","D3_fin","D3_source","D3_prcdeg","prpinv_max","D3_inv"
"409","SVk16","LC","D3_inv",0,0.00077730616133148,"LC"
"410","SVk17","LC","D3_inv",0,0.00152842595050821,"LC"
"411","SVk18","LC","",0,NA,NA
"412","SVk2","LC","D3_inv",0,0.00120889041360065,"LC"
"413","SVk3","LC","D3_inv",0,0,"LC"
"414","SVk4","LC","D3_inv",0,0.000777914886226536,"LC"
"415","SVk5","LC","D3_inv",0,0.000176544211916227,"LC"
"416","SVk6","LC","D3_inv",0,0.00179130823126036,"LC"
"417","SVk7","LC","D3_inv",0,0.000363771284166322,"LC"
"418","SVk8","LC","D3_inv",0,0.0000033376615799056,"LC"
"419","SVk9","LC","D3_inv",0,0.000177826238112458,"LC"
"420","SVkd1","LC","D3_inv",0,0.00113815752302039,"LC"
